api,status,primary_category,runner_category,checkpoint_attempts,provider_error_attempts,provider_internal_retries,doc_rounds_used,repair_status,source,error,category_reason
AutoVARIMA,pass,pass,,1,0,,,,tslearn/tslearn/forecasting/_arima.py:466,,
Backend,pass,pass,,1,0,,,,tslearn/tslearn/backend/backend.py:55,,
BaseModelPackage,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/bases/bases.py:78,,
CachedDatasets,pass,pass,,1,0,,,,tslearn/tslearn/datasets/cached.py:5,,
EmptyClusterError,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/clustering/utils.py:17,,
GlobalArgminPooling1D,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:97,missing module/import: No module named 'keras',Runner classified this as infrastructure.
GlobalMinPooling1D,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:66,missing module/import: No module named 'keras',Runner classified this as infrastructure.
KNeighborsTimeSeries,pass,pass,,1,0,,,,tslearn/tslearn/neighbors/neighbors.py:236,,
KNeighborsTimeSeriesClassifier,pass,pass,,1,0,,,,tslearn/tslearn/neighbors/neighbors.py:431,,
KNeighborsTimeSeriesMixin,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/neighbors/neighbors.py:28,,
KNeighborsTimeSeriesRegressor,pass,pass,,1,0,,,,tslearn/tslearn/neighbors/neighbors.py:614,,
KShape,pass,pass,,1,0,,,,tslearn/tslearn/clustering/kshape.py:19,,
KernelKMeans,pass,pass,,1,0,,,,tslearn/tslearn/clustering/kmeans.py:129,,
LearningShapelets,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:290,missing module/import: No module named 'keras',Runner classified this as infrastructure.
LocalSquaredDistanceLayer,fail,test/scaffold,infra,1,0,,2,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:167,missing module/import: No module named 'tensorflow',Runner classified this as infrastructure.
MatrixProfile,pass,pass,,1,0,,,,tslearn/tslearn/matrix_profile/matrix_profile.py:69,,
NonMyopicEarlyClassifier,pass,pass,,1,0,,2,doc-fixed,tslearn/tslearn/early_classification/early_classification.py:18,,
NumPyBackend,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/numpy_backend.py:22,,
NumPyLinalg,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:126,,
NumPyRandom,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/numpy_backend.py:132,,
NumPyTesting,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:139,,
OneD_SymbolicAggregateApproximation,pass,pass,,1,0,,,,tslearn/tslearn/piecewise/piecewise.py:530,,
PatchingLayer,fail,test/scaffold,infra,1,0,,2,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:128,missing module/import: No module named 'tensorflow',Runner classified this as infrastructure.
PiecewiseAggregateApproximation,pass,pass,,1,0,,,,tslearn/tslearn/piecewise/piecewise.py:61,,
PyTorchBackend,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/pytorch_backend.py:37,,
PyTorchLinalg,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:238,,
PyTorchRandom,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/pytorch_backend.py:243,,
PyTorchTesting,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/pytorch_backend.py:263,,
SoftDTW,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/softdtw_variants.py:1068,,
SoftDTWLossPyTorch,pass,pass,,1,0,,,,tslearn/tslearn/metrics/soft_dtw_loss_pytorch.py:75,,
SquaredEuclidean,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/softdtw_variants.py:1176,,
SymbolicAggregateApproximation,pass,pass,,1,0,,,,tslearn/tslearn/piecewise/piecewise.py:276,,
TimeSeriesCentroidBasedClusteringMixin,pass,pass,,1,0,,,,tslearn/tslearn/clustering/utils.py:225,,
TimeSeriesDBSCAN,pass,pass,,1,0,,,,tslearn/tslearn/clustering/dbscan.py:19,,
TimeSeriesFeatureSynchronizer,pass,pass,,1,0,,,,tslearn/tslearn/preprocessing/_synchronizer.py:12,,
TimeSeriesImputer,pass,pass,,1,0,,,,tslearn/tslearn/preprocessing/preprocessing.py:422,,
TimeSeriesKMeans,pass,pass,,1,0,,,,tslearn/tslearn/clustering/kmeans.py:476,,
TimeSeriesMLPClassifier,pass,pass,,1,0,,,,tslearn/tslearn/neural_network/neural_network.py:11,,
TimeSeriesMLPRegressor,pass,pass,,1,0,,,,tslearn/tslearn/neural_network/neural_network.py:133,,
TimeSeriesMixin,fail,unknown,runtime,1,0,,,,tslearn/tslearn/bases/bases.py:53,AssertionError: TimeSeriesMixin should set 'allow_nan' to True in tags,"Observed runtime; doc attribution requires source, document, and snippet review."
TimeSeriesResampler,pass,pass,,1,0,,,,tslearn/tslearn/preprocessing/preprocessing.py:23,,
TimeSeriesSVC,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:110,,
TimeSeriesSVMMixin,pass,pass,,1,0,,2,doc-fixed,tslearn/tslearn/svm/svm.py:20,,
TimeSeriesSVR,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:413,,
TimeSeriesScalerMeanVariance,pass,pass,,1,0,,,,tslearn/tslearn/preprocessing/preprocessing.py:283,,
TimeSeriesScalerMinMax,pass,pass,,1,0,,,,tslearn/tslearn/preprocessing/preprocessing.py:141,,
TsLearnTags,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/bases/bases.py:29,,
UCR_UEA_datasets,pass,pass,,1,0,,,,tslearn/tslearn/datasets/ucr_uea.py:36,,
VARIMA,pass,pass,,1,0,,,,tslearn/tslearn/forecasting/_arima.py:111,,
accumulated_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_dtw.py:286,,
accumulated_matrix_from_dist_matrix,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:456,,
all,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:90,,
array,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:106,,
backward,pass,pass,,1,0,,,,tslearn/tslearn/metrics/soft_dtw_loss_pytorch.py:62,,
baseline_accuracy,pass,pass,,1,0,,,,tslearn/tslearn/datasets/ucr_uea.py:121,,
belongs_to_backend,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:86,,
build,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:188,missing module/import: No module named 'keras',Runner classified this as infrastructure.
cache_all,pass,pass,,1,0,,,,tslearn/tslearn/datasets/ucr_uea.py:376,,
call,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:89,missing module/import: No module named 'tensorflow',Runner classified this as infrastructure.
cast,pass,pass,,1,0,,,,tslearn/tslearn/backend/backend.py:91,,
cdist,pass,pass,,1,0,,,,tslearn/tslearn/backend/pytorch_backend.py:135,,
cdist_ctw,pass,pass,,1,0,,,,tslearn/tslearn/metrics/ctw.py:302,,
cdist_dtw,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_dtw.py:639,,
cdist_frechet,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_frechet.py:647,,
cdist_gak,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_gak.py:289,,
cdist_normalized_cc,pass,pass,,1,0,,,,tslearn/tslearn/metrics/cycc.py:54,,
cdist_sax,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/sax.py:10,,
cdist_soft_dtw,pass,pass,,1,0,,,,tslearn/tslearn/metrics/softdtw_variants.py:765,,
cdist_soft_dtw_normalized,pass,pass,,1,0,,,,tslearn/tslearn/metrics/softdtw_variants.py:911,,
check_dataset,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:548,,
check_dims,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:65,,
check_equal_size,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:425,,
check_keras_backend,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/backend/__init__.py:12,,
check_variable_length_input,pass,pass,,1,0,,,,tslearn/tslearn/utils/utils.py:39,,
classes_,pass,pass,,1,0,,,,tslearn/tslearn/early_classification/early_classification.py:124,,
coef_,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:34,,
compute,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/softdtw_variants.py:1111,,
compute_mask,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_masks.py:199,,
compute_output_shape,fail,test/scaffold,infra,1,0,,1,not-testable (entry unchanged),tslearn/tslearn/shapelets/shapelets.py:86,missing module/import: No module named 'keras',Runner classified this as infrastructure.
compute_var,pass,pass,,1,0,,,,tslearn/tslearn/forecasting/_arima.py:21,,
copy,pass,pass,,1,0,,,,tslearn/tslearn/backend/numpy_backend.py:94,,
ctw,pass,pass,,1,0,,,,tslearn/tslearn/metrics/ctw.py:200,,
ctw_path,pass,pass,,1,0,,,,tslearn/tslearn/metrics/ctw.py:46,,
cydist_1d_sax,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/metrics/cysax.py:135,,
cydist_sax,pass,pass,,1,0,,,,tslearn/tslearn/metrics/cysax.py:38,,
cyslopes,pass,pass,,1,0,,,,tslearn/tslearn/metrics/cysax.py:107,,
decision_function,pass,pass,,1,0,,2,doc-fixed,tslearn/tslearn/svm/svm.py:352,,
distance,pass,pass,,1,0,,,,tslearn/tslearn/piecewise/piecewise.py:219,,
distance_1d_sax,pass,pass,,1,0,,,,tslearn/tslearn/piecewise/piecewise.py:726,,
distance_paa,pass,pass,,1,0,,,,tslearn/tslearn/piecewise/piecewise.py:195,,
distance_sax,pass,pass,,1,0,,,,tslearn/tslearn/piecewise/piecewise.py:444,,
dtw,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_dtw.py:30,,
dtw_barycenter_averaging,pass,pass,,1,0,,,,tslearn/tslearn/barycenters/dba.py:485,,
dtw_barycenter_averaging_one_init,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/barycenters/dba.py:621,,
dtw_barycenter_averaging_petitjean,pass,pass,,1,0,,,,tslearn/tslearn/barycenters/dba.py:92,,
dtw_barycenter_averaging_subgradient,pass,pass,,1,0,,,,tslearn/tslearn/barycenters/dba.py:740,,
dtw_limited_warping_length,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:922,,
dtw_path,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_dtw.py:166,,
dtw_path_from_metric,pass,pass,,1,0,,,,tslearn/tslearn/metrics/_dtw.py:450,,
dtw_path_limited_warping_length,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:1063,,
dtw_subsequence_path,pass,pass,,1,0,,,,tslearn/tslearn/metrics/dtw_variants.py:1417,,
dual_coef_,pass,pass,,1,0,,,,tslearn/tslearn/svm/svm.py:29,,
early_classification_cost,pass,pass,,1,0,,,,tslearn/tslearn/early_classification/early_classification.py:517,,
early_predict,pass,pass,,1,0,,,,tslearn/tslearn/early_classification/early_classification.py:574,,
early_predict_proba,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/early_classification/early_classification.py:600,,
euclidean_barycenter,pass,pass,,1,0,,,,tslearn/tslearn/barycenters/euclidean.py:9,,
extract_from_zip_url,fail,unknown,runtime,1,0,,2,still-failing (no-improvement stop),tslearn/tslearn/datasets/datasets.py:16,URLError: <urlopen error [Errno 61] Connection refused>,"Observed runtime; doc attribution requires source, document, and snippet review."
fit,pass,pass,,1,0,,,,tslearn/tslearn/clustering/kmeans.py:321,,
fit_predict,pass,pass,,1,0,,,,tslearn/tslearn/forecasting/_arima.py:431,,
fit_transform,pass,pass,,1,0,,,,tslearn/tslearn/matrix_profile/matrix_profile.py:235,,
fix_force_all_finite_warning,pass,pass,,1,0,,1,doc-fixed,tslearn/tslearn/utils/utils.py:24,,
forward,pass,pass,,1,0,,,,tslearn/tslearn/metrics/soft_dtw_loss_pytorch.py:34,,
