repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
broadinstitute/gatk,https://github.com/broadinstitute/gatk,Official code repository for GATK versions 4 and up,Java,1972,627,2026-07-08T01:32:31Z,1555,154,True,True,2026-06-05,54,83,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: format | domain terms: bioinformatics, genomics | package manifest | tests present | adoption 34.7 | API surface 154 | source active 32d | library score 54 | tests | examples | docs | very large repo penalty"
biojava/biojava,https://github.com/biojava/biojava,:book::microscope::coffee: BioJava is an open-source project dedicated to providing a Java library for processing biological data.,Java,624,395,2026-06-30T04:30:56Z,1012,263,True,True,2026-05-05,74,74,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface","library terms: library, parser, processing | domain terms: bioinformatics, genomics, parser | package manifest | adoption 21.2 | API surface 263 | source active 63d | library score 74 | tests | docs"
cdk/cdk,https://github.com/cdk/cdk,The Chemistry Development Kit,Java,590,176,2026-07-07T14:23:04Z,1395,469,True,True,2026-06-26,44,68,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: format | domain terms: chemistry, bioinformatics | package manifest | adoption 14.7 | API surface 469 | source active 11d | library score 44 | tests | docs"
lindenb/jvarkit,https://github.com/lindenb/jvarkit,Java utilities for Bioinformatics,Java,524,131,2026-07-01T20:28:03Z,1353,506,True,True,2026-06-11,54,66,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface","library terms: format | domain terms: bioinformatics, genomics | package manifest | tests present | adoption 11.8 | API surface 506 | source active 26d | library score 54 | tests | docs"
pegasus-isi/pegasus,https://github.com/pegasus-isi/pegasus,"Pegasus Workflow Management System - Automate, recover, and debug scientific computations.",Java,235,91,2026-07-07T23:03:29Z,745,345,True,True,2026-07-07,52,65,True,True,True,True,0,False,"no CONTRIBUTING detected, large composable API surface","library terms: format | domain terms: scientific, bioinformatics, distributed | package manifest | adoption 6.9 | API surface 345 | source active 0d | library score 52 | tests | examples | docs"
PharmGKB/PharmCAT,https://github.com/PharmGKB/PharmCAT,The Pharmacogenomic Clinical Annotation Tool,Java,180,62,2026-07-03T11:22:10Z,127,324,True,True,2026-06-19,54,64,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: format | domain terms: bioinformatics, genomics | package manifest | tests present | adoption 4.9 | API surface 324 | source active 18d | library score 54 | tests | examples | docs"
intermine/intermine,https://github.com/intermine/intermine,A powerful open source data warehouse system,Java,270,347,2026-06-24T11:57:44Z,1431,336,True,True,2026-03-16,52,63,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface","library terms: api, format | domain terms: bioinformatics, genomics | package manifest | adoption 17.7 | API surface 336 | source active 113d | library score 52 | tests | docs"
dockstore/dockstore,https://github.com/dockstore/dockstore,"An app store for scientific workflows, tools, notebooks, and services",Java,130,30,2026-07-07T16:00:46Z,470,175,True,True,2026-07-07,44,60,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: format | domain terms: scientific, bioinformatics | package manifest | adoption 2.8 | API surface 175 | source active 0d | library score 44 | tests | examples | docs"
VerisimilitudeX/DNAnalyzer,https://github.com/VerisimilitudeX/DNAnalyzer,"Precision genomics for everyone, everywhere. Powered by private AI.",Java,180,74,2026-07-06T13:20:49Z,56,139,True,True,2026-04-23,44,58,True,True,True,True,0,False,large composable API surface,"library terms: format | domain terms: bioinformatics, genomics | package manifest | adoption 5.5 | API surface 139 | source active 75d | library score 44 | tests | examples | docs"
molgenis/molgenis,https://github.com/molgenis/molgenis,"MOLGENIS - for scientific data: management, exploration, integration and analysis. ",Java,122,96,2026-03-04T12:10:08Z,1706,262,True,True,2026-03-04,54,52,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: format | domain terms: scientific, bioinformatics | package manifest | tests present | adoption 6.0 | API surface 262 | source active 125d | library score 54 | tests | docs"
