language,rank,repo,stars,api,final_score,ready,domain(s),url
Scala,1,broadinstitute/cromwell,1071,201,84,yes,bioinformatics,https://github.com/broadinstitute/cromwell
Scala,2,projectglow/glow,305,194,66,yes,genomics,https://github.com/projectglow/glow
Python,1,deepmodeling/deepmd-kit,1978,252,95,yes,molecular dynamics,https://github.com/deepmodeling/deepmd-kit
Python,2,materialsproject/pymatgen,1920,577,93,yes,"genomics, materials science",https://github.com/materialsproject/pymatgen
Python,3,tslearn-team/tslearn,3158,166,92,yes,time series,https://github.com/tslearn-team/tslearn
Python,4,LCAV/pyroomacoustics,1896,273,91,yes,"audio processing, signal processing",https://github.com/LCAV/pyroomacoustics
Python,5,sktime/pytorch-forecasting,4943,155,91,yes,time series,https://github.com/sktime/pytorch-forecasting
Python,6,TorchIO-project/torchio,2418,228,90,yes,"image processing, medical imaging",https://github.com/TorchIO-project/torchio
Python,7,PennyLaneAI/pennylane,3291,255,90,yes,quantum computing,https://github.com/PennyLaneAI/pennylane
Python,8,galaxyproject/galaxy,1804,268,89,yes,"bioinformatics, genomics",https://github.com/galaxyproject/galaxy
Python,9,scverse/scanpy,2506,233,88,yes,bioinformatics,https://github.com/scverse/scanpy
Python,10,birdnet-team/BirdNET-Analyzer,1627,247,88,yes,audio processing,https://github.com/birdnet-team/BirdNET-Analyzer
Java,1,JorenSix/TarsosDSP,2179,249,91,yes,audio processing,https://github.com/JorenSix/TarsosDSP
Java,2,broadinstitute/gatk,1972,154,83,yes,"bioinformatics, genomics",https://github.com/broadinstitute/gatk
Java,3,lessthanoptimal/BoofCV,1181,150,81,yes,"computer vision, image processing",https://github.com/lessthanoptimal/BoofCV
Java,4,kairosdb/kairosdb,1760,247,76,yes,time series,https://github.com/kairosdb/kairosdb
Java,5,sksamuel/scrimage,1183,366,75,yes,image processing,https://github.com/sksamuel/scrimage
Java,6,imagej/ImageJ,769,1123,74,yes,image processing,https://github.com/imagej/ImageJ
Java,7,biojava/biojava,624,263,74,yes,"bioinformatics, genomics",https://github.com/biojava/biojava
Java,8,samtools/htsjdk,300,244,72,yes,genomics,https://github.com/samtools/htsjdk
Java,9,cdk/cdk,590,469,68,yes,"bioinformatics, cheminformatics",https://github.com/cdk/cdk
Java,10,lindenb/jvarkit,524,506,66,yes,"bioinformatics, genomics",https://github.com/lindenb/jvarkit
