domain,rank,repo,language,stars,api,final_score,ready,url
molecular dynamics,1,deepmodeling/deepmd-kit,Python,1978,252,95,yes,https://github.com/deepmodeling/deepmd-kit
molecular dynamics,2,MDAnalysis/mdanalysis,Python,1609,245,86,yes,https://github.com/MDAnalysis/mdanalysis
molecular dynamics,3,mdtraj/mdtraj,Python,724,487,73,yes,https://github.com/mdtraj/mdtraj
molecular dynamics,4,MDIL-SNU/SevenNet,Python,256,250,61,yes,https://github.com/MDIL-SNU/SevenNet
molecular dynamics,5,torchmd/torchmd,Python,711,104,59,yes,https://github.com/torchmd/torchmd
genomics,1,materialsproject/pymatgen,Python,1920,577,93,yes,https://github.com/materialsproject/pymatgen
genomics,2,galaxyproject/galaxy,Python,1804,268,89,yes,https://github.com/galaxyproject/galaxy
genomics,3,broadinstitute/gatk,Java,1972,154,83,yes,https://github.com/broadinstitute/gatk
genomics,4,ClawBio/ClawBio,Python,1025,293,80,yes,https://github.com/ClawBio/ClawBio
genomics,5,google/deepvariant,Python,3746,368,80,yes,https://github.com/google/deepvariant
materials science,1,materialsproject/pymatgen,Python,1920,577,93,yes,https://github.com/materialsproject/pymatgen
materials science,2,materialsproject/atomate2,Python,322,163,64,yes,https://github.com/materialsproject/atomate2
materials science,3,Quantum-Accelerators/quacc,Python,269,83,62,yes,https://github.com/Quantum-Accelerators/quacc
materials science,4,argonne-lcf/ChemGraph,Python,129,125,59,yes,https://github.com/argonne-lcf/ChemGraph
materials science,5,FAIRmat-NFDI/nomad,Python,117,140,59,yes,https://github.com/FAIRmat-NFDI/nomad
time series,1,tslearn-team/tslearn,Python,3158,166,92,yes,https://github.com/tslearn-team/tslearn
time series,2,sktime/pytorch-forecasting,Python,4943,155,91,yes,https://github.com/sktime/pytorch-forecasting
time series,3,AIStream-Peelout/flow-forecast,Python,2285,224,87,yes,https://github.com/AIStream-Peelout/flow-forecast
time series,4,stumpy-dev/stumpy,Python,4110,146,87,yes,https://github.com/stumpy-dev/stumpy
time series,5,skforecast/skforecast,Python,1507,275,82,yes,https://github.com/skforecast/skforecast
audio processing,1,LCAV/pyroomacoustics,Python,1896,273,91,yes,https://github.com/LCAV/pyroomacoustics
audio processing,2,JorenSix/TarsosDSP,Java,2179,249,91,yes,https://github.com/JorenSix/TarsosDSP
audio processing,3,birdnet-team/BirdNET-Analyzer,Python,1627,247,88,yes,https://github.com/birdnet-team/BirdNET-Analyzer
audio processing,4,whitphx/streamlit-webrtc,Python,1708,174,86,yes,https://github.com/whitphx/streamlit-webrtc
audio processing,5,pytorch/audio,Python,2898,125,82,yes,https://github.com/pytorch/audio
signal processing,1,LCAV/pyroomacoustics,Python,1896,273,91,yes,https://github.com/LCAV/pyroomacoustics
signal processing,2,benedekrozemberczki/pytorch_geometric_temporal,Python,2991,147,88,yes,https://github.com/benedekrozemberczki/pytorch_geometric_temporal
signal processing,3,dipy/dipy,Python,831,400,84,yes,https://github.com/dipy/dipy
signal processing,4,pytorch/audio,Python,2898,125,82,yes,https://github.com/pytorch/audio
signal processing,5,ScaleFree-Tech/yishape-math,Java,265,447,63,yes,https://github.com/ScaleFree-Tech/yishape-math
image processing,1,TorchIO-project/torchio,Python,2418,228,90,yes,https://github.com/TorchIO-project/torchio
image processing,2,dipy/dipy,Python,831,400,84,yes,https://github.com/dipy/dipy
image processing,3,lessthanoptimal/BoofCV,Java,1181,150,81,yes,https://github.com/lessthanoptimal/BoofCV
image processing,4,matthewwithanm/django-imagekit,Python,2351,165,77,yes,https://github.com/matthewwithanm/django-imagekit
image processing,5,sksamuel/scrimage,Java,1183,366,75,yes,https://github.com/sksamuel/scrimage
quantum computing,1,PennyLaneAI/pennylane,Python,3291,255,90,yes,https://github.com/PennyLaneAI/pennylane
quantum computing,2,TeamGraphix/graphix,Python,113,575,63,yes,https://github.com/TeamGraphix/graphix
